resultId,raceId,teamId,driverId,grid,positionText,points,year,round
199,12,6,20,19,Ret,0,2023,10
200,12,3,31,13,Ret,0,2023,10
201,13,9,1,2,1,26,2023,11
202,13,7,4,3,2,18,2023,11
203,13,9,11,9,3,15,2023,11
204,13,8,44,1,4,12,2023,11
205,13,7,81,4,5,10,2023,11
206,13,8,63,18,6,8,2023,11
207,13,5,16,6,7,6,2023,11
208,13,5,55,11,8,4,2023,11
209,13,4,14,8,9,2,2023,11
210,13,4,18,14,10,1,2023,11
211,13,10,23,16,11,0,2023,11
212,13,1,77,7,12,0,2023,11
213,13,2,3,13,13,0,2023,11
214,13,6,27,10,14,0,2023,11
215,13,2,22,17,15,0,2023,11
216,13,1,24,5,16,0,2023,11
217,13,6,20,19,17,0,2023,11
218,13,10,2,20,18,0,2023,11
219,13,3,31,12,Ret,0,2023,11
220,13,3,10,15,Ret,0,2023,11
221,14,9,1,6,1,25,2023,12
222,14,9,11,2,2,18,2023,12
223,14,5,16,1,3,15,2023,12
224,14,8,44,3,4,13,2023,12
225,14,4,14,9,5,10,2023,12
226,14,8,63,8,6,8,2023,12
227,14,7,4,7,7,6,2023,12
228,14,3,31,14,8,4,2023,12
229,14,4,18,10,9,2,2023,12
230,14,2,22,11,10,1,2023,12
231,14,3,10,12,11,0,2023,12
232,14,1,77,13,12,0,2023,12
233,14,1,24,17,13,0,2023,12
234,14,10,23,15,14,0,2023,12
235,14,6,20,16,15,0,2023,12
236,14,2,3,19,16,0,2023,12
237,14,10,2,18,17,0,2023,12
238,14,6,27,PL,18,0,2023,12
239,14,5,55,4,Ret,0,2023,12
240,14,7,81,5,Ret,0,2023,12
241,15,9,1,1,1,25,2023,13
242,15,4,14,5,2,19,2023,13
243,15,3,10,12,3,15,2023,13
244,15,9,11,7,4,12,2023,13
245,15,5,55,6,5,10,2023,13
246,15,8,44,13,6,8,2023,13
247,15,7,4,2,7,6,2023,13
248,15,10,23,4,8,4,2023,13
249,15,7,81,8,9,2,2023,13
250,15,3,31,16,10,1,2023,13
251,15,4,18,11,11,0,2023,13
252,15,6,27,14,12,0,2023,13
253,15,2,40,19,13,0,2023,13
254,15,1,77,18,14,0,2023,13
255,15,2,22,17,15,0,2023,13
256,15,6,20,PL,16,0,2023,13
257,15,8,63,3,17,0,2023,13
258,15,1,24,15,Ret,0,2023,13
259,15,5,16,9,Ret,0,2023,13
260,15,10,2,10,Ret,0,2023,13
261,16,9,1,2,1,25,2023,14
262,16,9,11,5,2,18,2023,14
263,16,5,55,1,3,15,2023,14
264,16,5,16,3,4,12,2023,14
265,16,8,63,4,5,10,2023,14
266,16,8,44,8,6,8,2023,14
267,16,10,23,6,7,6,2023,14
268,16,7,4,9,8,4,2023,14
269,16,4,14,10,9,2,2023,14
270,16,1,77,14,10,1,2023,14
271,16,2,40,12,11,0,2023,14
272,16,7,81,7,12,0,2023,14
273,16,10,2,15,13,0,2023,14
274,16,1,24,16,14,0,2023,14
275,16,3,10,17,15,0,2023,14
276,16,4,18,20,16,0,2023,14
277,16,6,27,13,17,0,2023,14
278,16,6,20,19,18,0,2023,14
279,16,3,31,18,Ret,0,2023,14
280,16,2,22,11,Ret,0,2023,14
281,18,5,55,1,1,25,2023,15
282,18,7,4,4,2,18,2023,15
283,18,8,44,5,3,16,2023,15
284,18,5,16,3,4,12,2023,15
285,18,9,1,11,5,10,2023,15
286,18,3,10,12,6,8,2023,15
287,18,7,81,17,7,6,2023,15
288,18,9,11,13,8,4,2023,15
289,18,2,40,10,9,2,2023,15
290,18,6,20,6,10,1,2023,15
291,18,10,23,14,11,0,2023,15
292,18,1,24,PL,12,0,2023,15
293,18,6,27,9,13,0,2023,15
294,18,10,2,18,14,0,2023,15
295,18,4,14,7,15,0,2023,15
296,18,8,63,2,16,0,2023,15
